# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
792929.292929293,172,-2.294721512122647,0.6801418260293584,1.8080405275568903,1.7990320879155934
842424.2424242424,172,-2.4833626491829723,0.7360432820255016,1.7981686517879745,1.7889213696387778
891919.191919192,172,-2.680852015715164,0.7945672653645137,1.7892709806468607,1.7798125696886162
941414.1414141415,172,-2.8878932691404886,0.8559222972864775,1.7812748892777748,1.771629893630294
990909.0909090909,172,-3.1052240999662244,0.9203269860952109,1.774105938282185,1.7642960620468506
1040404.0404040405,172,-3.333618860268706,0.9880108060561731,1.7676907258741612,1.757735142534433
1089898.98989899,172,-3.573891322777544,1.0592149150112105,1.7619587451682666,1.751874382306347
1139393.9393939395,172,-3.826897580399124,1.1341930136229086,1.7568435159695877,1.7466453135985085
1188888.888888889,172,-4.093539096515311,1.21321224930975,1.7522832001834194,1.7419843427923576
1238383.8383838385,172,-4.374765916928991,1.296554168092632,1.7482208587097994,1.7378329822017098
1287878.787878788,172,-4.671580054902925,1.3845157177440406,1.7446044663837164,1.7341378416786217
1337373.7373737374,172,-4.985039061354426,1.4774103058140164,1.7413867694241834,1.730850464774892
1386868.686868687,172,-5.316259792927711,1.5755689163026105,1.738525045556844,1.7279270696933895
1436363.6363636365,172,-5.6664223913703555,1.6793412889574757,1.7359808089422541,1.725328237107033
1485858.585858586,172,-6.036774488393043,1.7890971653984247,1.733719488870245,1.7230185736813792
1535353.5353535356,172,-6.428635650994996,1.9052276065088674,1.7317101016880048,1.7209663706087874
1584848.4848484849,172,-6.84340208309415,2.0281463857879833,1.7299249286706078,1.7191432696904037
1634343.4343434344,172,-7.2825516002142505,2.158291463628151,1.7283392077873412,1.7175239447473631
1683838.383838384,172,-7.747648894953914,2.2961265477704504,1.7269308440132174,1.716085802847191
1733333.3333333335,172,-8.240351111998708,2.4421427454981828,1.7256801405728224,1.7148087075816858
1782828.282828283,172,-8.762413752540171,2.596860313455163,1.724569551982511,1.7136747251257114
1832323.2323232323,172,-9.31569692913931,2.7608305113233613,1.7235834587587395,1.7126678928227332
1881818.1818181819,172,-9.902171993320852,2.9346375659646307,1.722707963027857,1.7117740094244682
1931313.1313131314,172,-10.523928559512305,3.1189007530246684,1.721930703893579,1.7109804457459905
1980808.080808081,172,-11.183181950354422,3.314276603416071,1.7212406912127367,1.7102759743038223
2030303.0303030305,172,-11.882281089910594,3.5214612425421232,1.7206281563411543,1.7096506164263472
2079797.9797979798,172,-12.623716872898905,3.7411928705960364,1.7200844184000985,1.7090955053238388
2129292.9292929294,172,-13.410131039766409,3.9742543927729352,1.7196017646518216,1.7086027636516137
2178787.878787879,172,-14.2443255892276,4.221476208766034,1.7191733436412018,1.7081653941754982
2228282.8282828284,172,-15.129272761804083,4.483739171486052,1.7187930698461433,1.7077771822405854
2277777.777777778,172,-16.06812562993685,4.761977725545749,1.71845553867335,1.707432608843665
2327272.7272727275,172,-17.064229332403748,5.057183236692031,1.7181559507323951,1.7071267732106243
2376767.676767677,172,-18.121132993070482,5.370407524048455,1.7178900444157912,1.7068553238789785
2426262.6262626266,172,-19.24260236644185,5.702766607753468,1.717654035903698,1.7066143973801142
2475757.575757576,172,-20.432633255069227,6.0554446853472825,1.7174445657974604,1.706400563704367
2525252.525252525,172,-21.695465746620737,6.429698351075316,1.7172586516656971,1.7062107778143134
2574747.474747475,172,-23.03559932134076,6.826861073141465,1.7170936458598554,1.7060423365470285
2624242.4242424243,172,-24.457808883726944,7.24834794486389,1.7169471980230069,1.7058928403149802
2673737.373737374,172,-25.96716177554542,7.69566072666148,1.7168172217763837,1.7057601590776543
2723232.3232323234,172,-27.569035830802154,8.170393196835944,1.7167018651231452,1.7056424021124872
2772727.272727273,172,-29.269138536999726,8.67423683021394,1.7165994841583085,1.7055378911644918
2822222.2222222225,172,-31.073527370952007,9.20898682488283,1.7165086197184085,1.7054451365996846
2871717.171717172,172,-32.988631381612635,9.776548498492838,1.7164279766442703,1.705362816228278
2921212.1212121216,172,-35.02127409681776,10.3789440769161,1.7163564053661449,1.7052897565003402
2970707.070707071,172,-37.17869783555934,11.018319899450352,1.7162928855523316,1.7052249158092843
3020202.02020202,172,-39.46858951241373,11.69695406623949,1.7162365115910463,1.7051673696678369
3069696.9696969697,172,-41.89910802606805,12.417264555159118,1.7161864797007143,1.7051162975471603
3119191.9191919193,172,-44.47891332952779,13.181817837086992,1.7161420764865993,1.7050709711930931
3168686.868686869,172,-47.21719728558526,13.993338020255326,1.716102668781914,1.7050307442540968
3218181.8181818184,172,-50.12371641748504,14.854716556265693,1.7160676946295594,1.7049950430739886
3267676.767676768,172,-53.208826671479244,15.769022542349749,1.7160366552766861,1.7049633585188821
3317171.7171717174,172,-56.483520315129525,16.73951365658208,1.716009108068533,1.7049352387223555
3366666.666666667,172,-59.95946510282751,17.769647765008223,1.7159846601406694,1.7049102826458389
3416161.6161616165,172,-63.649045848077414,18.863095242043297,1.7159629628200663,1.7048881343627225
3465656.565656566,172,-67.56540855066665,20.02375204803971,1.7159437066554348,1.7048684779849361
3515151.5151515156,172,-71.72250723594657,21.25575361061868,1.715926617006177,1.7048510331598616
3564646.4646464647,172,-76.13515367311376,22.56348955922521,1.7159114501272172,1.7048355510734994
3614141.414141414,172,-80.81907014963954,23.95161936540617,1.715897989694016,1.70482181090305
3663636.3636363638,172,-85.79094548987933,25.42508894453688,1.7158860437183068,1.704809616668357
3713131.3131313133,172,-91.06849451746166,26.989148278149447,1.7158754418106525,1.7047987944374499
3762626.262626263,172,-96.67052117331717,28.64937011965031,1.7158660327508444,1.70478918984633
3812121.2121212124,172,-102.61698551424121,30.411669850076557,1.7158576823315372,1.7047806658977178
3861616.161616162,172,-108.92907483070319,32.28232655463613,1.7158502714444164,1.7047731010073641
3911111.1111111115,172,-115.62927913729827,34.26800539512867,1.7158436943816078,1.704766387270128
3960606.060606061,172,-122.74147130481299,36.37578135795958,1.7158378573281579,1.7047604289210674
4010101.0101010106,172,-130.29099211941704,38.613164462361986,1.7158326770240737,1.7047551409696613
4059595.9595959596,172,-138.30474057204557,40.98812651864302,1.7158280795768701,1.7047504479876403
4109090.909090909,172,-146.8112696996768,43.50912953179519,1.7158239994076911,1.7047462830331934
4158585.8585858587,172,-155.8408883199848,46.18515585167408,1.715820378315991,1.7047425866961972
4208080.808080808,172,-165.42576902185027,49.02574017716835,1.715817164649422,1.7047393062508442
4257575.757575758,172,-175.60006279650185,52.04100352839298,1.715814312567124,1.704736394903604
4307070.707070707,172,-186.40002071771448,55.24168930794848,1.7158117813858789,1.704733811125795
4356565.656565657,172,-197.8641231046185,58.639201579733104,1.7158095349998337,1.704731518061235
4406060.606060606,172,-210.0332166273213,62.24564570169551,1.715807541365503,1.7047294830005386
4455555.555555556,172,-222.9506598438565,66.07387145730257,1.7158057720447095,1.7047276769145623
4505050.5050505055,172,-236.66247768700015,70.13751883939973,1.7158042017989468,1.7047260740403263
4554545.454545455,172,-251.2175254514037,74.45106664959314,1.715802808229383,1.704724651513545
4604040.404040405,172,-266.66766286531896,79.0298840863121,1.7158015714573622,1.7047233890424778
